timestamp,raw_x,raw_y,raw_z,smoothed_x,smoothed_y,smoothed_z,valid
1783696161.2744987,-0.091862,0.147225,-0.253960,-0.092736,0.147073,-0.253298,1
1783696161.3088942,-0.092954,0.145618,-0.255485,-0.092791,0.146709,-0.253845,1
1783696161.3431044,-0.087541,0.147101,-0.257257,-0.091478,0.146807,-0.254698,1
1783696161.3776648,-0.088535,0.143834,-0.258064,-0.090742,0.146064,-0.255539,1
1783696161.4117043,-0.099295,0.145141,-0.252542,-0.092881,0.145833,-0.254790,1
1783696161.4460971,-0.097492,0.146716,-0.253936,-0.094034,0.146054,-0.254576,1
1783696161.4803565,-0.092812,0.145847,-0.254475,-0.093728,0.146002,-0.254551,1
1783696161.5172853,-0.093887,0.141105,-0.257439,-0.093768,0.144778,-0.255273,1
1783696161.5526297,-0.095483,0.143406,-0.257152,-0.094197,0.144435,-0.255743,1
1783696161.5869176,-0.096560,0.143017,-0.257533,-0.094787,0.144080,-0.256190,1
1783696161.6207087,-0.093836,0.140208,-0.259309,-0.094550,0.143112,-0.256970,1
1783696161.655175,-0.092477,0.135734,-0.261044,-0.094032,0.141268,-0.257989,1
1783696161.688953,-0.093911,0.146198,-0.255144,-0.094001,0.142500,-0.257277,1
1783696161.7230933,-0.091888,0.143954,-0.258654,-0.093473,0.142864,-0.257621,1
1783696161.7568798,-0.089741,0.151475,-0.256378,-0.092540,0.145016,-0.257311,1
1783696161.7912092,-0.084590,0.151285,-0.256760,-0.090553,0.146584,-0.257173,1
1783696161.8244092,-0.081069,0.147624,-0.258748,-0.088182,0.146844,-0.257567,1
1783696161.8911076,-0.083888,0.149015,-0.257344,-0.087108,0.147387,-0.257511,1
1783696161.9258502,-0.080971,0.147261,-0.257485,-0.085574,0.147355,-0.257505,1
1783696161.9600098,-0.082347,0.145808,-0.258450,-0.084767,0.146968,-0.257741,1
1783696161.9948242,-0.082479,0.148983,-0.256498,-0.084195,0.147472,-0.257430,1
1783696162.0287607,-0.082809,0.151213,-0.254938,-0.083849,0.148407,-0.256807,1
1783696162.0629916,-0.082008,0.150979,-0.254633,-0.083388,0.149050,-0.256264,1
1783696162.09712,-0.082941,0.153325,-0.252741,-0.083277,0.150119,-0.255383,1
1783696162.1313457,-0.084640,0.157417,-0.251652,-0.083618,0.151943,-0.254450,1
1783696162.1648328,-0.080271,0.152064,-0.254740,-0.082781,0.151974,-0.254523,1
1783696162.199427,-0.068514,0.151839,-0.248433,-0.079214,0.151940,-0.253000,1
1783696162.2331762,-0.069792,0.151421,-0.248669,-0.076858,0.151810,-0.251917,1
1783696162.2679513,-0.083887,0.152613,-0.254432,-0.078616,0.152011,-0.252546,1
1783696162.3019662,-0.085993,0.149954,-0.254946,-0.080460,0.151497,-0.253146,1
1783696162.3360405,-0.090918,0.146579,-0.254932,-0.083075,0.150267,-0.253592,1
1783696162.3697386,-0.092441,0.143117,-0.256504,-0.085416,0.148480,-0.254320,1
1783696162.4037397,-0.091559,0.145056,-0.256309,-0.086952,0.147624,-0.254817,1
1783696162.437761,-0.091311,0.147019,-0.255349,-0.088042,0.147472,-0.254950,1
1783696162.4717577,-0.092364,0.149933,-0.255395,-0.089122,0.148087,-0.255062,1
1783696162.5057156,-0.087678,0.152448,-0.255118,-0.088761,0.149178,-0.255076,1
1783696162.5406523,-0.086275,0.154120,-0.253838,-0.088140,0.150413,-0.254766,1
1783696162.5753112,-0.090029,0.154174,-0.253658,-0.088612,0.151353,-0.254489,1
1783696162.6096041,-0.086426,0.151531,-0.255701,-0.088066,0.151398,-0.254792,1
1783696162.644127,-0.085629,0.149013,-0.258572,-0.087456,0.150802,-0.255737,1
1783696162.6778216,-0.086771,0.146710,-0.260563,-0.087285,0.149779,-0.256944,1
1783696162.7127655,-0.086947,0.142801,-0.261399,-0.087201,0.148034,-0.258057,1
1783696162.7474165,-0.089621,0.142044,-0.262021,-0.087806,0.146537,-0.259048,1
1783696162.7813582,-0.090440,0.140557,-0.261944,-0.088464,0.145042,-0.259772,1
1783696162.8158486,-0.088513,0.142926,-0.261452,-0.088477,0.144513,-0.260192,1
1783696162.8513262,-0.090011,0.137213,-0.263314,-0.088860,0.142688,-0.260973,1
1783696162.885307,-0.086905,0.140228,-0.262809,-0.088371,0.142073,-0.261432,1
1783696162.9202843,-0.093062,0.137675,-0.262232,-0.089544,0.140973,-0.261632,1
1783696162.954253,-0.092389,0.139193,-0.262121,-0.090255,0.140528,-0.261754,1
1783696162.9879825,-0.095526,0.137681,-0.260612,-0.091573,0.139816,-0.261469,1
1783696163.0213277,-0.096585,0.142671,-0.258398,-0.092826,0.140530,-0.260701,1
1783696163.0550797,-0.097041,0.150690,-0.254148,-0.093880,0.143070,-0.259063,1
1783696163.0883555,-0.095315,0.151870,-0.251535,-0.094239,0.145270,-0.257181,1
1783696163.122152,-0.094405,0.156984,-0.249609,-0.094280,0.148199,-0.255288,1
1783696163.155663,-0.094359,0.154025,-0.251355,-0.094300,0.149655,-0.254305,1
1783696163.1895478,-0.093538,0.156866,-0.250522,-0.094109,0.151458,-0.253359,1
1783696163.2236326,-0.094837,0.157914,-0.248738,-0.094291,0.153072,-0.252204,1
1783696163.2580187,-0.094791,0.155549,-0.250006,-0.094416,0.153691,-0.251654,1
1783696163.2924674,-0.092657,0.157853,-0.250135,-0.093976,0.154732,-0.251274,1
1783696163.326301,-0.093537,0.158802,-0.250361,-0.093866,0.155749,-0.251046,1
1783696163.3606799,-0.093748,0.156297,-0.250430,-0.093837,0.155886,-0.250892,1
1783696163.3951561,-0.091669,0.160737,-0.251143,-0.093295,0.157099,-0.250955,1
1783696163.4295056,-0.091529,0.160470,-0.250676,-0.092853,0.157942,-0.250885,1
1783696163.463318,-0.093803,0.161736,-0.249079,-0.093091,0.158890,-0.250434,1
1783696163.4984715,-0.090067,0.157769,-0.253643,-0.092335,0.158610,-0.251236,1
1783696163.5332632,-0.087615,0.157359,-0.253695,-0.091155,0.158297,-0.251851,1
1783696163.5681894,-0.085826,0.155914,-0.255238,-0.089822,0.157701,-0.252698,1
1783696163.6022565,-0.085774,0.153792,-0.256519,-0.088810,0.156724,-0.253653,1
1783696163.6360304,-0.086207,0.153712,-0.255778,-0.088160,0.155971,-0.254184,1
1783696163.6700053,-0.086790,0.157993,-0.254192,-0.087817,0.156477,-0.254186,1
1783696163.7042747,-0.087009,0.152894,-0.255618,-0.087615,0.155581,-0.254544,1
1783696163.7375078,-0.087461,0.146161,-0.260004,-0.087577,0.153226,-0.255909,1
1783696163.771235,-0.087514,0.149030,-0.258992,-0.087561,0.152177,-0.256680,1
1783696163.8063467,-0.089843,0.144946,-0.259852,-0.088131,0.150369,-0.257473,1
1783696163.840895,-0.088718,0.146966,-0.258498,-0.088278,0.149518,-0.257729,1
1783696163.875221,-0.090607,0.148416,-0.258348,-0.088860,0.149243,-0.257884,1
1783696163.9096289,-0.088090,0.147031,-0.259640,-0.088668,0.148690,-0.258323,1
1783696163.9438806,-0.090193,0.148524,-0.258221,-0.089049,0.148649,-0.258298,1
1783696163.978256,-0.091673,0.156007,-0.253327,-0.089705,0.150488,-0.257055,1
1783696164.011784,-0.092607,0.150597,-0.254959,-0.090431,0.150515,-0.256531,1
